News Agency,relevance,hours since published,publish date,title,url
abc.net.au,1,3,"Fri, 19 Feb 2021 04:58:28 +1100",Doctors battling fear and misinformation among patients as vaccine rolls into Western Sydney,https://www.abc.net.au/news/2021-02-19/nsw-covid19-western-sydney-patients-lack-information-on-vaccine/13169482
abc.net.au,0,6,"Fri, 19 Feb 2021 02:57:44 +1100",Why has Hong Kong's population shown the biggest decline in a decade?,https://www.abc.net.au/news/2021-02-19/hong-kong-residents-stay-australia-china-national-security-law/13169764
abc.net.au,0,9,"Thu, 18 Feb 2021 23:35:30 +1100",'Beginning of the end for Facebook': Q+A tackles the platform's Australian news ban,https://www.abc.net.au/news/2021-02-18/q-and-a-facebook-news-ban-michelle-rowlands-beginning-of-the-end/13170044
abc.net.au,0,10,"Thu, 18 Feb 2021 22:04:37 +1100",Linda Reynolds brought to tears when questioned about Brittany Higgins allegations,https://www.abc.net.au/news/2021-02-18/linda-reynolds-breaks-down-senate-brittany-higgins-alleged-rape/13170136
abc.net.au,0,11,"Thu, 18 Feb 2021 21:22:32 +1100",Hong Kong court again denies bail for Beijing critic and tycoon Jimmy Lai,https://www.abc.net.au/news/2021-02-18/hong-kong-tycoon-jimmy-lai-denied-another-bid-for-bail/13170078
abc.net.au,0,13,"Thu, 18 Feb 2021 19:51:23 +1100",Adelaide Fringe 'pivots' to welcome performers and punters back after a grim year for the arts,https://www.abc.net.au/news/2021-02-18/adelaide-fringe-2021-to-kick-off-despite-covid-19/13165396
abc.net.au,0,13,"Thu, 18 Feb 2021 19:21:59 +1100",White swan turned black after being 'contaminated',https://www.abc.net.au/news/2021-02-18/white-swan-turned-black-after-being-contaminated/13169396
abc.net.au,0,14,"Thu, 18 Feb 2021 18:37:06 +1100",Facebook unrepentant as Prime Minister dubs emergency services block 'arrogant',https://www.abc.net.au/news/2021-02-18/facebook-unrepentant-scott-morrison-dubs-move-arrogant/13169340
abc.net.au,0,14,"Thu, 18 Feb 2021 18:34:42 +1100","'Magic man' told alleged victim 'seed' would repel her stalker, court hears",https://www.abc.net.au/news/2021-02-18/wa-rape-trial-hears-accused-offered-protection-from-stalker/13168038
abc.net.au,0,14,"Thu, 18 Feb 2021 18:31:06 +1100",'The only news left': Anti-vaccine pages unscathed by Facebook news ban,https://www.abc.net.au/news/science/2021-02-18/facebook-news-ban-misinformation-spread-covid-vaccine-rollout/13167318
abc.net.au,0,14,"Thu, 18 Feb 2021 18:27:45 +1100",Meet the Olympian running Tokyo's games after her boss resigned for claiming women talk too much,https://www.abc.net.au/news/2021-02-18/seiko-hashimoto-to-run-tokyo-olympics/13168278
abc.net.au,0,14,"Thu, 18 Feb 2021 18:25:32 +1100",New vice-chancellor wants CDU to expand its offering — despite recent cuts to courses and staff,https://www.abc.net.au/news/2021-02-18/new-cdu-vice-chancellor-pledges-growth-despite-cuts/13168652
abc.net.au,0,14,"Thu, 18 Feb 2021 18:15:44 +1100",Former Collingwood footballer blasts teammates for inaction over racism,https://www.abc.net.au/news/2021-02-18/former-afl-player-blasts-teammates-for-inaction-over-racism/13168588
abc.net.au,0,15,"Thu, 18 Feb 2021 17:34:43 +1100",Children's app creator pleads guilty to possessing child abuse material,https://www.abc.net.au/news/2021-02-18/sa-children-app-content-creator-pleads-guilty-abuse-material/13168948
abc.net.au,0,15,"Thu, 18 Feb 2021 17:27:07 +1100",'I'm done': Serena Williams cuts short media conference following Australian Open loss,https://www.abc.net.au/news/2021-02-18/australian-open-serena-williams-overcome-with-emotion-after-loss/13169060
abc.net.au,0,15,"Thu, 18 Feb 2021 17:05:34 +1100",Facebook took down all of Australia's news content – and all my work went with it,https://www.abc.net.au/news/2021-02-18/university-student-caught-up-in-facebook-ban/13168902
abc.net.au,0,15,"Thu, 18 Feb 2021 17:00:34 +1100",'Life saving' sex abuse survivors page censored by Facebook,https://www.abc.net.au/news/2021-02-18/facebook-news-ban-sees-sex-abuse-survivors-lose-archive/13167708
abc.net.au,0,16,"Thu, 18 Feb 2021 16:31:36 +1100",'It breaks my heart every day': Swimmer Shayna Jack makes emotional plea ahead of appeal,https://www.abc.net.au/news/2021-02-18/swimmer-shayna-jacks-plea-for-help-ahead-of-appeal/13166904
abc.net.au,0,16,"Thu, 18 Feb 2021 16:12:31 +1100","'He has lost my trust': Backbencher exiled, staffer resigns over NT Labor scandal",https://www.abc.net.au/news/2021-02-18/blain-mla-mark-turner-booted-nt-labor-alleged-scandal/13168712
abc.net.au,0,17,"Thu, 18 Feb 2021 15:56:47 +1100",'They've spat the dummy': WA Premier accuses Facebook of acting like 'North Korean dictator',https://www.abc.net.au/news/2021-02-18/facebook-acting-like-dictator-with-news-ban-wa-premier-says/13167656
abc.net.au,0,17,"Thu, 18 Feb 2021 15:39:37 +1100","'A devastating moment': Family law experts, former judges react to Family Court merger",https://www.abc.net.au/news/2021-02-18/family-court-merger-federal-circuit-court-reactions/13168506
abc.net.au,0,17,"Thu, 18 Feb 2021 15:33:50 +1100",Facebook ban potentially 'dangerous' for Indigenous vaccine rollout,https://www.abc.net.au/news/2021-02-18/facebook-ban-feared-dangerous-for-indigenous-vaccine-rollout/13166658
abc.net.au,0,17,"Thu, 18 Feb 2021 15:20:17 +1100",Pressure for more details about alleged sex abuse within Tasmania's public service,https://www.abc.net.au/news/2021-02-18/tasmania-childrens-commission-commission-of-inquiry-sexual-abuse/13167828
abc.net.au,0,18,"Thu, 18 Feb 2021 14:55:39 +1100",Summit famous for its sunrise view may be closed permanently,https://www.abc.net.au/news/2021-02-18/wollumbin-national-park-mount-warning-closure-could-be-permanent/13167728
abc.net.au,0,18,"Thu, 18 Feb 2021 14:23:00 +1100",Facebook just restricted access to news in Australia. Here's what that means for you,https://www.abc.net.au/news/2021-02-18/facebook-news-ban-what-just-happened-post-zuckerberg/13166710
abc.net.au,0,19,"Thu, 18 Feb 2021 13:53:25 +1100","Japan's ruling party invites more women to meetings, as long as they don't talk",https://www.abc.net.au/news/2021-02-18/japans-ruling-party-invites-more-women-to-meetings-but-not-talk/13167092
